PassengerId,Survived_pred,Probability
892,0,0.14573378761507755
893,1,0.7139530109853738
894,0,0.14933250424127528
895,0,0.1320794683401871
896,0,0.4816637581920475
897,0,0.1320794683401871
898,1,0.6886156829579528
899,0,0.16297363674464796
900,1,0.7185732591977423
901,0,0.12731635781857623
902,0,0.1320794683401871
903,0,0.2629129463221869
904,1,0.9237903725648697
905,0,0.1613961198217092
906,1,0.9229690027193991
907,1,0.9355794173332121
908,0,0.15749315873404193
909,0,0.17989628141752992
910,0,0.4816637581920475
911,1,0.6304791504123596
912,0,0.36043748772678574
913,0,0.24526611959549352
914,1,0.9194768422552557
915,0,0.401049527449708
916,1,0.9353197296171123
917,0,0.09060279625221582
918,1,0.9510181173238349
919,0,0.17989628141752992
920,0,0.27527197205179205
921,0,0.17757809932728225
922,0,0.1613961198217092
923,0,0.15283245319647748
924,1,0.5100511282589353
925,0,0.490178643469405
926,0,0.37504827546960867
927,0,0.17989628141752992
928,0,0.4816637581920475
929,0,0.4816637581920475
930,0,0.1320794683401871
931,0,0.3060015244816952
932,0,0.15004516127010264
933,0,0.26516895760365455
934,0,0.11282437466914638
935,1,0.8843848657523254
936,1,0.9596108706937879
937,0,0.1320794683401871
938,0,0.28524003880428656
939,0,0.15965592217537133
940,1,0.942335018564376
941,1,0.5100511282589353
942,0,0.33757412924320196
943,0,0.1525809746579634
944,1,0.8936290719160483
945,1,0.7467000274480818
946,0,0.18652297821327835
947,0,0.09940082588848112
948,0,0.12574338836080867
949,0,0.1320794683401871
950,0,0.1528171744542956
951,1,0.9390192872591089
952,0,0.1320794683401871
953,0,0.14741103762801247
954,0,0.1320794683401871
955,1,0.6886156829579528
956,0,0.3955431627357454
957,1,0.9006660911278691
958,1,0.5857889141636947
959,0,0.18749383480291715
960,0,0.2982239705448304
961,1,0.7060272864679908
962,1,0.5857889141636947
963,0,0.1320794683401871
964,0,0.4816637581920475
965,0,0.2982239705448304
966,1,0.9390192872591089
967,0,0.3468536667219967
968,0,0.1320794683401871
969,1,0.9266824317381437
970,0,0.14108720215423481
971,1,0.5857889141636947
972,1,0.7477202851415349
973,0,0.23316051106942814
974,0,0.2629129463221869
975,0,0.1320794683401871
976,0,0.15749315873404193
977,0,0.14090226798029137
978,1,0.5857889141636947
979,0,0.4816637581920475
980,1,0.5857889141636947
981,1,0.6729990615890888
982,0,0.4816637581920475
983,0,0.1320794683401871
984,1,0.8807724582233581
985,0,0.1320794683401871
986,0,0.3216402970355569
987,0,0.1320794683401871
988,1,0.9339261417023075
989,0,0.1320794683401871
990,0,0.4816637581920475
991,0,0.12574338836080867
992,1,0.9718358328349895
993,0,0.16297363674464796
994,0,0.15965592217537133
995,0,0.1320794683401871
996,1,0.6201827225697987
997,0,0.1528171744542956
998,0,0.15965592217537133
999,0,0.15965592217537133
1000,0,0.1320794683401871
1001,0,0.14108720215423481
1002,0,0.13895154263039144
1003,1,0.5857889141636947
1004,1,0.9425037200385997
1005,1,0.6886156829579528
1006,1,0.9138132034890978
1007,0,0.1546886671997926
1008,0,0.10109659211462538
1009,1,0.8379195202397621
1010,0,0.37504827546960867
1011,1,0.9006660911278691
1012,1,0.9153079570131283
1013,0,0.15965592217537133
1014,1,0.9456566319973705
1015,0,0.1320794683401871
1016,0,0.15965592217537133
1017,1,0.5241422758979405
1018,0,0.1320794683401871
